,d1,d2,plane_height,pass_height,cloud_height1,cloud_height2,cloud above plane height1,cloud above plane height1,roll,pitch,pixel height,x_target,pass_number,camera,timestamp,cloud_above_plane_height,pixel_height
0,15637.506609822536,4004.3836066215463,5256.333,5274.9834,8029.059741758871,5966.359071621819,,,-35.50053,4.7502055,,380,123,191422,2022-07-23 19:13:57,691.3756731843187,520.3988842964172
1,17126.23279132226,1034.5187621792593,5129.555,5274.9834,6562.88615777614,5216.139071409709,,,5.922302,4.7502055,,346,123,191422,2022-07-23 19:14:18,-58.84432702779122,372.0
2,16244.62897239025,3223.538202884982,5208.8604,5274.9834,5325.027598300318,5231.910133248641,,,-35.47627,4.7502055,,380,123,191422,2022-07-23 19:14:03,-43.073265188859295,250.85530775785446
3,16927.98903224534,1779.0587828137784,5133.7847,5274.9834,7160.885252018027,5346.824880391254,,,-28.2711,4.7502055,,154,123,191422,2022-07-23 19:14:13,71.84148195375383,429.0
4,17088.21718835115,1182.900652066935,5129.1743,5274.9834,5889.136411021027,5181.779397878946,,,-1.8629477,4.7502055,,328,123,191422,2022-07-23 19:14:17,-93.20400055855407,310.0
5,17050.56903035822,1331.6564170460483,5129.1743,5274.9834,5790.392266434165,5180.813890689276,,,-10.264172,4.7502055,,348,123,191422,2022-07-23 19:14:16,-94.16950774822362,301.0
6,16971.73854103793,1629.4065648234869,5131.651,5274.9834,7185.465943734645,5328.832222547857,,,-25.874987,4.7502055,,148,123,191422,2022-07-23 19:14:14,53.84882411035687,431.0
7,14138.65144765094,5350.499692477814,5275.155,5274.9834,8095.1394462819135,6342.322443440192,,,-29.077635,4.7502055,,82,123,191422,2022-07-23 19:13:45,1067.3390450026918,555.0
8,14799.356297550048,4825.43153725372,5271.821,5274.9834,7352.959999662112,5950.386465101932,,,-31.734596,4.7502055,,380,123,191422,2022-07-23 19:13:50,675.4030666644321,462.9579405784607
9,17210.471168207136,738.1306915730697,5134.1846,5274.9834,6465.700506780578,5191.289564288295,,,21.133787,4.7502055,,380,123,191422,2022-07-23 19:14:20,-83.69383414920503,362.0
10,16827.41896058537,2076.4836314951317,5141.0234,5274.9834,7049.640021835315,5376.542088909143,,,-28.516167,4.7502055,,154,123,191422,2022-07-23 19:14:11,101.55869047164288,419.0
11,16152.74881726746,3358.8107652270323,5219.319,5274.9834,7460.120391830102,5685.2731635997725,,,-36.04238,4.7502055,,380,123,191422,2022-07-23 19:14:02,410.2897651622725,459.86641573905945
12,16056.51620434381,3492.3287955168607,5228.101,5274.9834,7861.829840238188,5800.9393126304485,,,-36.583237,4.7502055,,380,123,191422,2022-07-23 19:14:01,525.9559141929485,499.8180799484253
13,13726.99192296119,5639.905155327933,5275.4976,5274.9834,7553.160791678309,6211.3027677405,,,-27.870386,4.7502055,,380,123,191422,2022-07-23 19:13:42,936.3193693029998,502.5564007759094
