,flight_id,start_index,start_datetime,end_index,end_datetime,npasses,passes_start_index,passes_end_index,start_lon,start_lat,end_lon,end_lat,alt_pre,pressalt_pre,press_pre,alt,pressalt,press,alt_post,pressalt_post,press_post,nondT_pre,deicedT_pre,nondT_pre_n,deicedT_pre_n,nondT_pre_err,deicedT_pre_err,nondT_post,deicedT_post,nondT_post_n,deicedT_post_n,nondT_post_err,deicedT_post_err
14,c298,16910,2022-07-19 18:22:17,16952,2022-07-19 18:22:59,1.0,[16910],[16952],-107.16885,33.887424,-107.1754,33.94261,5058.854,4697.7314,562.3798,5081.9155,4720.285,560.6992,5040.984,4685.0596,563.4969,274.5816,275.12604,15,15,0.052213112306490346,0.04081924225529318,274.8956,275.23593,15,15,0.10917006218833698,0.10866767582358455
15,c298,17169,2022-07-19 18:26:36,17219,2022-07-19 18:27:26,1.0,[17169],[17219],-107.20153,33.944153,-107.17156,33.878365,6242.818,5805.545,484.52704,6236.1387,5799.0864,484.954,6199.9155,5767.201,487.15924,265.66132,266.0104,15,15,0.0077066699721746595,0.0262721759811639,265.7519,266.38055,15,15,0.03905685398968294,0.020251332641000656
16,c298,17519,2022-07-19 18:32:26,17555,2022-07-19 18:33:02,1.0,[17519],[17555],-107.183395,33.887894,-107.184746,33.93881,7689.9575,7161.447,401.35986,7691.952,7157.7515,401.5694,7697.0264,7165.273,401.1432,259.01642,259.42157,15,15,0.024493824590420727,0.015073722437227953,,,0,0,,
17,c298,17768,2022-07-19 18:36:35,17791,2022-07-19 18:36:58,1.0,[17768],[17791],-107.19613,33.90836,-107.17918,33.877728,8334.3,7760.1733,368.52435,8336.972,7760.189,368.5234,8344.884,7769.702,368.09802,253.48961,253.96976,15,15,0.03853548424112577,0.04617985512606646,251.10562,251.81778,5,5,0.14278497000629758,0.11070623094234934
18,c298,18136,2022-07-19 18:42:43,18143,2022-07-19 18:42:50,1.0,[18136],[18143],-107.16435,33.88948,-107.162415,33.90012,8637.866,8039.6904,353.95908,8632.046,8034.528,354.22354,8640.677,8041.873,353.82248,,,0,0,,,,,0,0,,
19,c298,18333,2022-07-19 18:46:00,18337,2022-07-19 18:46:04,1.0,[18333],[18337],-107.163574,33.886127,-107.15985,33.8806,8461.621,7872.3896,362.62057,8426.457,7841.094,364.2585,8439.677,7850.7446,363.764,,,0,0,,,,,0,0,,
20,c298,18523,2022-07-19 18:49:10,18543,2022-07-19 18:49:30,1.0,[18523],[18543],-107.1752,33.876934,-107.18126,33.907406,8138.886,7569.612,378.7299,8128.014,7559.6685,379.26837,8133.506,7562.949,379.02512,254.30437,255.05875,15,15,0.01799914113928278,0.028232822105664825,254.96754,255.53508,15,15,0.014774653345574405,0.02193849338090309
21,c298,18755,2022-07-19 18:53:02,18805,2022-07-19 18:53:52,2.0,[18755 18784],[18768 18805],-107.233955,33.905277,-107.19745,33.83523,7645.0903,7110.25,404.27386,7636.842,7105.174,404.56375,7672.472,7133.722,402.8985,259.47598,259.99738,15,15,0.022312018581877563,0.02376986089186059,258.90524,259.49472,15,15,0.006552713777866976,0.01198222798285617
22,c298,18979,2022-07-19 18:56:46,18994,2022-07-19 18:57:01,1.0,[18979],[18994],-107.21652,33.84232,-107.21112,33.864204,7881.7056,7331.714,391.79013,7880.645,7334.4976,391.63516,7841.821,7295.476,393.82773,257.2447,257.68048,15,15,0.014308170546249607,0.013353725521994831,257.53333,258.01962,15,15,0.02898748278997408,0.05305906175195388
23,c298,19196,2022-07-19 19:00:23,19209,2022-07-19 19:00:36,1.0,[19196],[19209],-107.175964,33.876904,-107.15598,33.866467,8513.361,7923.8306,359.93875,8488.306,7903.9404,360.97327,8483.799,7894.625,361.48328,251.81348,252.27301,15,15,0.03414388962363167,0.03171311619021757,252.17462,252.59303,15,15,0.032314667073450654,0.04622911419839158
24,c298,19393,2022-07-19 19:03:40,19471,2022-07-19 19:04:58,2.0,[19393 19469],[19461 19471],-107.24512,33.83418,-107.25311,33.94698,7360.7593,6847.463,419.507,7294.7563,6784.086,423.24408,6958.01,6479.8765,441.6143,261.51303,261.63504,15,15,0.06522763007620272,0.07359881755372286,261.55325,262.25638,15,15,0.06896810309361324,0.0499627348837072
25,c298,19535,2022-07-19 19:06:02,19659,2022-07-19 19:08:06,1.0,[19535],[19659],-107.32544,33.92774,-107.268234,33.75268,6928.783,6453.001,443.23135,6931.698,6454.3306,443.14975,6727.2427,6260.332,455.2962,261.80307,262.48856,15,15,0.04155611226941332,0.031569651979574814,263.06476,263.55396,15,15,0.044143388966513195,0.045388862846040094
26,c298,19783,2022-07-19 19:10:10,19897,2022-07-19 19:12:04,1.0,[19783],[19897],-107.2208,33.7686,-107.28425,33.916935,6719.22,6254.994,455.54562,6729.3384,6263.8687,454.9877,6720.817,6250.7305,455.79437,262.9869,263.64786,15,15,0.03215571874685285,0.04986207370201211,262.62265,263.31097,15,15,0.06527530784112133,0.05035914287251684
27,c298,20029,2022-07-19 19:14:16,20153,2022-07-19 19:16:20,3.0,[20029 20118 20141],[20111 20134 20153],-107.338524,33.87912,-107.27593,33.71148,6556.6,6101.8936,465.25558,6548.34,6094.0947,465.75464,6545.5884,6092.301,465.8686,263.3899,263.83563,15,15,0.020588682068520704,0.01430502235942386,263.71518,264.42627,15,15,0.06740711798812198,0.0538154576422007
28,c298,20327,2022-07-19 19:19:14,20445,2022-07-19 19:21:12,1.0,[20327],[20445],-107.245224,33.75052,-107.312546,33.89655,6404.8667,5959.432,474.44086,6411.2783,5967.8125,473.8963,6374.95,5929.498,476.3745,264.0121,264.77008,15,15,0.09660198481987789,0.0693610983824969,264.24634,264.7994,15,15,0.039814273305161234,0.02714567518741663
29,c298,20539,2022-07-19 19:22:46,20541,2022-07-19 19:22:48,1.0,[20539],[20541],-107.399124,33.95741,-107.40066,33.954937,6226.8765,5796.5933,485.11908,6210.2817,5776.474,486.45163,6141.7925,5714.114,490.6045,265.55545,266.23508,15,15,0.03421949612447218,0.02768322736651348,265.98065,266.38718,15,15,0.0465897099990264,0.04242368445848906
30,c298,20627,2022-07-19 19:24:14,20730,2022-07-19 19:25:57,1.0,[20627],[20730],-107.3446,33.848686,-107.23288,33.738274,6076.554,5648.303,495.0117,6079.7354,5650.878,494.8385,6065.0034,5639.246,495.60217,266.2761,266.80243,15,15,0.010543015090056479,0.0053131481591335876,265.81354,266.51434,15,15,0.027589645517246592,0.018584846245012852
31,c298,20892,2022-07-19 19:28:39,21235,2022-07-19 19:34:22,8.0,[20892 20988 21017 21063 21122 21139 21176 21220],[20979 20990 21023 21068 21124 21170 21203 21235],-107.2144,33.772808,-107.1741,33.761597,5745.21,5340.5693,516.06274,5738.6577,5334.5903,516.47876,5394.817,5015.8096,539.0956,268.45468,269.10733,15,15,0.015927520707774926,0.013372148138027071,271.779,272.28403,15,15,0.02258977465071263,0.007447837651463559
32,c299,10696,2022-07-20 17:12:18,10703,2022-07-20 17:12:25,1.0,[10696],[10703],-107.22726,33.799667,-107.233055,33.80784,5604.018,5205.5684,525.52625,3576.607,3353.5142,684.6785,5455.602,5066.9697,535.3897,269.83926,270.2341,15,15,0.03660905937873496,0.03587019253117448,270.8114,271.1412,15,15,0.042437827733492355,0.044252845449257665
